Data Set,Avg Accuracy,Std. Dev,Optimized Acc,Std. Dev,Classifier
ecoli,0.941176471,0,0.485294118,0,"['KNN', 'NB', 'DT', 'ANN', 'KNN', 'NB']"
haberman,0.508196721,0,0.37704918,0,"['DISCR', 'ANN', 'KNN']"
ionosphere,0.394366197,0,0.901408451,0,"['DT', 'ANN', 'KNN', 'DT', 'KNN']"
iris,1,0,0.966666667,0,"['DISCR', 'ANN', 'DISCR', 'DT', 'NB']"
liver,0.743589744,0,0.735042735,0,"['KNN', 'NB', 'DT', 'ANN', 'DISCR', 'NB']"
pima_diabetec,0.714285714,0,0.720779221,0,"['DT', 'NB', 'DT', 'DT', 'KNN', 'NB']"
sonar,0.904761905,0,0.619047619,0,"['DT', 'DISCR', 'DT', 'KNN', 'DISCR']"
wine,0.944444444,0,0.916666667,0,"['ANN', 'DISCR', 'DT', 'ANN', 'KNN', 'DISCR', 'NB', 'DT', 'ANN', 'DISCR', 'NB', 'KNN', 'DISCR', 'NB']"
breast-cancer-wisconsin,0.96350365,0,0.934306569,0,"['DISCR', 'DT', 'ANN', 'KNN', 'DISCR', 'NB', 'DT', 'DISCR', 'DT', 'ANN', 'KNN']"
ecoli,0.735294118,0,0.485294118,0,"['DT', 'DT', 'ANN', 'DISCR', 'NB', 'DT', 'ANN', 'KNN', 'DISCR']"
haberman,0.770491803,0,0.803278689,0,"['NB', 'DT', 'KNN', 'NB']"
ionosphere,0.85915493,0,0.85915493,0,"['ANN', 'KNN', 'DISCR', 'DT', 'KNN', 'DT', 'KNN', 'DISCR']"
iris,1,0,0.6,0,"['DT', 'DT', 'KNN', 'DISCR']"
liver,0.760683761,0,0.769230769,0,"['DT', 'ANN', 'DT', 'ANN', 'KNN', 'DISCR', 'NB']"
pima_diabetec,0.733766234,0,0.694805195,0,"['KNN', 'DT', 'ANN', 'KNN']"
sonar,0.738095238,0,0.761904762,0,"['DT', 'KNN', 'DISCR', 'DT', 'ANN', 'ANN', 'KNN']"
wine,0.944444444,0,0.944444444,0,"['DT', 'ANN', 'KNN', 'DISCR', 'DT', 'DISCR', 'DT', 'ANN', 'KNN', 'DISCR', 'NB']"
breast-cancer-wisconsin,0.95620438,0,0.423357664,0,"['NB', 'ANN', 'KNN', 'DISCR', 'NB', 'DT', 'ANN', 'KNN', 'DISCR']"
ecoli,0.735294118,0,0.514705882,0,"['ANN', 'KNN', 'NB', 'DISCR', 'ANN', 'KNN', 'DISCR', 'KNN', 'DISCR']"
haberman,0.737704918,0,0.721311475,0,"['ANN', 'KNN', 'DISCR', 'DT', 'NB', 'DT', 'ANN', 'DISCR', 'NB']"
ionosphere,0.887323944,0,0.845070423,0,"['DT', 'KNN', 'DISCR', 'ANN', 'ANN', 'DISCR', 'NB']"
iris,1,0,1,0,"['DT', 'KNN']"
liver,0.743589744,0,0.735042735,0,"['ANN', 'DISCR', 'NB', 'ANN', 'NB']"
pima_diabetec,0.733766234,0,0.707792208,0,"['ANN', 'NB', 'DT', 'KNN', 'NB', 'KNN', 'DISCR', 'KNN', 'NB', 'DT', 'KNN']"
sonar,0.904761905,0,0.714285714,0,"['DT', 'DISCR', 'DT', 'NB']"
wine,0.972222222,0,1,0,"['DT', 'KNN', 'DISCR', 'NB', 'ANN', 'NB']"
